Name,Date,Nationality,Summary,Description
Tom Watson ,1949-present,American, Ranked #1 in the world for 5 years,Watson was consistantly one of the top players in the world during the 1970’s and 1980’s. He won 8 major championships and was on top of the PGA Tour earnings list 5 times. The sole major championship that he has yet to win is the PGA Champtionship.
Greg Norman ,1955-present,Austrailian, Had over 90 professional victories,"Greg Norman was ranked the world’s number one golfer for 331 weeks during the 1980’s and 1990’s. He is nicknamed “The Great White Shark” due to his large stature, blonde hair and aggressive style of play."
Betsy King ,1955-present,American, 6 major championship wins,"Betsy King has won 34 LPGA tournaments; all since 1984. In 1984 she was LPGA Tour Player of the Year for having 21 top 10 finishes. During the time span from 1984 to 1989 King won 20 LPGA events, which was more than any other player on the planet."
Payne Stewart ,1957-1999,American, Won 11 PGA Tour tournaments,"Stewart won three major championships, the last one that he was victorioius in was just months before the fatal plane crash that ended his life. Payne Stewart was known as one of the most consistant golfers of his time."
Nick Faldo ,1957-present,English, Winner of 6 major championships,Faldo has held the number one world ranking for 98 weeks during his career. He has won 3 Open Championships and 3 Masters. He is now a television announcer for many golf championships.
Juli Inkster ,1960-present,American, Currently the 2nd most winning active player on the LPGA,Juli Inkster has been a professional golfer for over 29 years. She has 31 professional tournament wins under her belt as well as over $13 million in career winnings and endorsements.
Darren Clarke ,1968-present,Irish, Has been victorious in 22 tournaments,"Clarke has played on the PGA, Sunshine, Japan and European Tours. In 2011 he won the Open Champtionship that was held at Royal St. George. Clarke has been victorious in two World Golf Championships and ranked amongst the top ten golfers in the world for 43 weeks."
Phil Mickelson ,1970-present,American, Has more than 40 tournament wins in his career,"Phil Mickelson has won one PGA Championship and three Masters titles. He has finished in 2nd place in the U.S. Open for a record of 6 times. Several times he has reached the #2 world ranking spot. Interestingly, he is only left-handed while playing golf."
Annika Sorenstam ,1971-present,Swedish, Won ninety international tournaments,Annika Sorenstam is considered one of the best female golfers ever to play the sport. She has the most wins of any professional female golfer of all time. She has won 10 majors as well as 18 international tournaments.
Padraig Harrington ,1971-present,Irish, He has been victorious in 3 major championships,Harrington plays in both the PGA Tour and European Tour. He won the Open Championship in back to back years (2007 and 2008) as well as the PGA Championship in 2008.
Lee Westwood ,1973-present,English, Won in several tournaments across the globe,"Lee Westwood was player of the year in the PGA in 1998, 2000 and 2009. Westwood represented Europe in the Ryder Cup for the past eight years. In 2010 he ousted Tiger Woods from his world’s number one golfer position for 22 weeks."
Karrie Webb ,1974-present,Austrailian, Has more wins (39) than any other active LPGA player,Karrie Webb is considered one of the best female golfers of all time and the greatest to come from Australia. She has won 39 times on the LPGA Tour and is in the World Golf Hall of Fame.
Tiger Woods ,1975-present,American, First African-American and youngest person to win the U.S. Masters,"Tiger Woods is known as one of the best golfers of all time. He was the very first person to hold all of the 4 professional championships at once. He was the youngest person, in 2000, to finish a career “Grand Slam.” Tiger was also the youngest person to ever win the Masters championship."
Bubba Watson ,1978-present,American, Won the 2012 Masters Tournament,Bubba Watson is a major champtionship winner who is known for having one of the longest average drives in all of golf at 315.2 yards. He is capable of driving a ball over 350 yards with the ball reaching nearly 200 mph. After winning the 2012 Masters Tournament he was ranked 4th in the world.
Rory Mcilroy ,1989-present,Irish, Won the 2011 U.S. Open and 2012 PGA Championship,Mcilroy is a member the PGA and European Tours. At one point he was a World Number One. Rory has won two major championships. In 2011 he won the U.S. Open while scoring a record 16 under par. In 2012 he won the PGA Championship by a record 8 strokes under par.
